IDCLIENTE,nome,sobrenome,email,telefone,estado,Sigla,Cidade,bairro
197,Rafaela,Farias,nogueiramarcelo@gmail.com,(011)9367-0670,Espírito Santo,ES,Fogaça de Minas,Morro Vieira
198,Murilo,Costela,nunesalexandre@peixoto.com,(081)2006-4304,Roraima,RR,Rodrigues,Largo de Fogaça
199,MariaCecília,Nunes,jcastro@uol.com.br,5186924096,Paraíba,PB,Moraes,Lagoa Lívia Ribeiro
200,Olivia,Pires,oliveirabenicio@freitas.net,4131368130,Rio Grande do Norte,RN,Moura da Praia,Vale Nunes
201,DaviLuiz,Melo,melissasilva@ig.com.br,(011)2404-8324,Sergipe,SE,da Conceição da Serra,Praça Benjamin Gomes
202,JoãoMiguel,daCruz,kribeiro@gomes.br,2148637715,São Paulo,SP,Castro,Praia Viana
203,Luigi,Vieira,bdas-neves@ferreira.net,(084)89729775,Distrito Federal,DF,Nunes Verde,Colônia de Almeida
204,Lorena,Cunha,ana-beatriz97@hotmail.com,(084)73730881,Amapá,AP,Lima Paulista,Conjunto de Fogaça
205,Mariana,Melo,pmoreira@ig.com.br,8006454547,Roraima,RR,Silveira,Estrada Esther Lima
206,AnaJúlia,Oliveira,joaopereira@azevedo.br,817311-8013,Pernambuco,PE,Monteiro,Viela Rocha
207,Enzo,daCunha,icarvalho@bol.com.br,112281-2899,Paraná,PR,Rodrigues,Praça Mirella Rezende
208,Luana,Lopes,luiz-otavio42@ig.com.br,3189154162,São Paulo,SP,Rocha do Sul,Trevo Silveira
209,Luana,Moura,da-pazmaria-vitoria@ig.com.br,5106201232,Mato Grosso,MT,da Paz,Trevo de Pinto
210,Carolina,Rezende,jmonteiro@gmail.com,(061)3847-9542,Alagoas,AL,das Neves,Passarela Beatriz Pinto
211,Igor,Azevedo,tmendes@hotmail.com,414601-3175,São Paulo,SP,Caldeira do Norte,Distrito Leonardo Costela
212,MariaSophia,Caldeira,kfernandes@ramos.com,8474239169,Paraíba,PB,Barbosa das Pedras,Trevo de Araújo
213,VitorGabriel,dasNeves,jcostela@freitas.com,0900-837-6795,Goiás,GO,Rocha Verde,Sítio de Carvalho
214,Bárbara,Almeida,bazevedo@gmail.com,5127185587,Acre,AC,Nunes de da Costa,Área Otávio Nogueira
215,MarcosVinicius,Sales,carvalholucca@gmail.com,(084)78592112,Amapá,AP,Aragão da Praia,Trevo Breno Ribeiro
216,Lucas,daMota,qcastro@costa.org,(031)3961-6654,São Paulo,SP,da Rocha do Sul,Esplanada de Viana
217,Yasmin,Campos,diegoda-conceicao@da.com,814329-7861,Sergipe,SE,da Costa de Correia,Ladeira Erick Barbosa
218,Stella,Sales,mirella36@martins.br,(031)45973117,Rio Grande do Norte,RN,Viana de Rocha,Campo Miguel Alves
219,Joana,Correia,joaoramos@rezende.br,1132527349,Santa Catarina,SC,Sales de Goiás,Pátio de da Conceição
220,Emilly,daConceição,vitorda-cunha@yahoo.com.br,(011)3051-2043,Alagoas,AL,da Luz,Vereda Cardoso
221,Luana,Moura,da-rochapedro-miguel@bol.com.br,(084)12529334,Piauí,PI,Cunha,Fazenda de Campos
222,Murilo,Oliveira,teixeiraisaac@bol.com.br,0300-690-6688,Mato Grosso do Sul,MS,Aragão,Vale de Moreira
223,DaviLucca,Silveira,oliveirabernardo@correia.com,(071)78772683,Roraima,RR,Novaes de Oliveira,Campo de Nascimento
224,Kevin,daCunha,ucorreia@bol.com.br,311163-5235,Maranhão,MA,Teixeira da Prata,Avenida Cauã Ribeiro
225,Erick,Pires,marina67@ferreira.br,0500-039-7733,Santa Catarina,SC,da Mata,Condomínio de Pinto
226,Alexia,Alves,maria-vitoria20@yahoo.com.br,8134265265,Alagoas,AL,Silva,Loteamento de Campos
227,Letícia,Nascimento,kferreira@aragao.net,(051)1334-7404,Amapá,AP,Lima Paulista,Residencial Alves
228,Thales,Cunha,enrico62@farias.com,(071)2655-9447,Rio Grande do Norte,RN,Moura da Praia,Vale Nunes
229,JoãoPedro,Sales,pietra49@gomes.org,(031)88023446,Paraíba,PB,Alves,Morro Murilo Nascimento
230,Enzo,daCosta,lorenzo89@uol.com.br,3157522320,Maranhão,MA,Azevedo,Pátio de Correia
